id,state,name,address,district,postcode,city,state_id,tel,fax,website,email,image,likes,rating,status,longitude,latitude
39,SELANGOR,Klinik 1 Malaysia Taman Gombak Permai,"No 1G, Jalan GP 2A, Taman Gombak Permai, 68100 Batu Cave","Gombak, Selangor",68100,Batu Cave,10,03-61856164,,,,,0,0,NEW,101.6864,3.251675
40,PAHANG,Klinik 1 Malaysia Taman Kempadang Makmur,"Taman Kempadang Makmur, Kempadang","Kuantan, Pahang",26060,Kuantan,6,09-5513831,09-5679092,,,,0,0,NEW,103.3149,3.771462
41,JOHOR,Klinik 1 Malaysia Taman Manis,"No. 5, Jalan Manis 17, Taman Manis Kelapa Sawit, Kulai Jaya","Kualaijaya, Johor",81030,Kulai,1,07-6525001,,,,,0,0,NEW,103.5238,1.680732
42,JOHOR,Klinik 1 Malaysia Taman Megah Ria,"No. 15 & 15A, Jalan Bayan 37/2, Taman Megah Ria, Masai Johor","Johor Bahru, Johor",81750,Johor Bahru,1,07-3866101,,,,,0,0,NEW,103.8561,1.49696
43,W. Persekutuan,Klinik 1 Malaysia Taman Melati,"Dewan Serbaguna, Pusat Konuniti Gombak, Taman Melati","WP Kuala Lumpur, Kuala Lumpur",53100,W. Persekutuan,14,03-61854278,03-61854278,,,klinik1m_tamanmelati.jpg,0,0,NEW,101.7203,3.217431
44,JOHOR,Klinik 1 Malaysia Taman Pagoh Jaya,"No.5, Jalan Jaya 1/3, Taman Pagoh Jaya, Pahoh, Muar","Muar, Johor",84600,Muar,1,06-9737001,,,,,0,0,NEW,102.7173,2.13235
45,N. Sembilan,Klinik 1 Malaysia Taman Rasah Jaya,"No.3779, Jalan Rasah Jaya 6-11, Taman Rasah Jaya, Seremban","Seremban, Negeri Sembilan",70300,Seremban,5,06-6310699,,,,,0,0,NEW,101.9432,2.681458
46,N. Sembilan,Klinik 1 Malaysia Taman Semarak 2,"No. 5742, Jalan TS 2/1E, Taman Semarak 2, Nilai","Seremban, Negeri Sembilan",71800,Nilai,5,06-7977751,,,,,0,0,NEW,101.817,2.82083
47,JOHOR,Klinik 1 Malaysia Taman Seri Lambak,"Balai Aktiviti JKKMB, Taman Seri Lambak, Kluang Johor","Kluang, Johor",86000,Kluang,1,07-7897701,,,,,0,0,NEW,103.3154,2.028788
48,SARAWAK,Klinik 1 Malaysia Taman Tunku,"Lot 9261 (2350 Heibour Hood) Shopping Centre Taman Tunku, Miri","Miri, Sarawak",97000,Miri,11,085-611546,,,,,0,0,NEW,113.9933,4.318427
49,P. Pinang,Klinik 1 Malaysia Teluk Air Tawar,"No.6, Lorong Teluk Air Tawar 14, Taman Air Tawar Indah, Teluk Air Tawar, Butterworth","Seberang Perai Utara, Pulau Pinang",13050,Butterworth,9,04-3511080,,,,,0,0,NEW,100.3835,5.490113
50,PERAK,Klinik 1 Malaysia Teluk Intan,"No.1 Taman Medan Maharaja, Jalan Kampung Banjar, Teluk Intan","Hilir Perak, Perak",36000,Teluk Intan,7,05-6224110,05-6212401,,,,0,0,NEW,101.0052,3.994364
51,PAHANG,Klinik 1 Malaysia Temerloh,"N0.12 Tingkat Bawah, Jalan Pak Sako 4, Bandar Seri Semantan, Temeloh","Temerloh, Pahang",28000,Temerloh,6,09-2969630,09-2969630,,,,0,0,NEW,102.4166,3.451754
52,TERENGGANU,Klinik 1 Malaysia Wakaf Baru,"Lot PT30712, Wakaf Baru, Mukim Kuala Nerus, Kuala Terengganu","Kuala Terengganu, Terengganu",21300,Kuala Terengganu,13,09-6667861,,,,,0,0,NEW,102.218,6.12076
53,W. Persekutuan,Klinik 1Malaysia Kerinchi,"B-0-1, Blok B Kuarters DBKL, Jalan Pantai Permai 1","WP Kuala Lumpur, Kuala Lumpur",59200,W. Persekutuan,14,03-22409406,03-22409406,,,,0,0,NEW,101.6708,3.106861
