id,facilities_id,name,address,postcode,city,district,state,tel,fax,website,email,image,latitude,longitude,likes,rating,status
26,KD01010001,KLINIK DESA PARIT PANDAN,Jalan Kampung Sri Pandan,83300,Sri Gading,Batu Pahat,Johor ,,,,,,1.82084,103.06503,0,0,NEW
27,KD01010011,KLINIK DESA PARIT SANGIT,Jalan Muar,83100,Semerah,Batu Pahat,Johor ,,,,,,1.90059,102.82298,0,0,NEW
28,KD01010012,KLINIK DESA PARIT SEMARANG,Jalan Kluang,86400,Ayer Hitam,Batu Pahat,Johor ,,,,,,1.88362,103.15039,0,0,NEW
29,KD01010046,KLINIK DESA PARIT WARIJO,"Jalan Sri Medan, Sungai Simpang Kiri",83000,Sri Medan,Batu Pahat,Johor ,,,,,,2.00995,102.94438,0,0,NEW
30,KD01010045,KLINIK DESA PARIT YOB,Taman Kota,83710,Yong Peng,Batu Pahat,Johor ,,,,,,1.89869,103.02322,0,0,NEW
31,KD01010013,KLINIK DESA PATAH PEDANG,Jalan Parit Botak,83030,Senggarang,Batu Pahat,Johor ,,,,,,1.77769,102.90729,0,0,NEW
32,KD01010014,KLINIK DESA PERPAT,Jalan Perpat Timbul,83100,Rengit,Batu Pahat,Johor ,,,,,,1.72131,103.12645,0,0,NEW
33,KD01010015,KLINIK DESA PESERAI,Jalan Bakau Condong,83000,Bagan,Batu Pahat,Johor ,,,,,,1.84944,102.90492,0,0,NEW
34,KD01010016,KLINIK DESA SEJAGONG,Jalan Medan,83400,Sri Medan,Batu Pahat,Johor ,,,,,,2.06875,102.9474,0,0,NEW
35,KD01010002,KLINIK DESA SEPARAP,Jalan Simpang Lima,83500,Parit Sulong,Batu Pahat,Johor ,,,,,,1.90999,102.86731,0,0,NEW
36,KD01010038,KLINIK DESA SIMPANG 6,Jalan Pontian,83200,Rengit,Batu Pahat,Johor ,,,,,,1.77506,103.14424,0,0,NEW
37,KD01010047,KLINIK DESA SRI LADANG,Jalan Seri Merlong,83100,Rengit,Batu Pahat,Johor ,,,,,,1.72554,103.14862,0,0,NEW
38,KD01010044,KLINIK DESA SRI MENANTI,"Klinik Desa Sri Menanti, Sri Medan",83400,Sri Medan,Batu Pahat,Johor ,,,,,,2.01013,102.97406,0,0,NEW
39,KD01010043,KLINIK DESA SRI MENDAPAT,Jalan Batu Pahat,86400,Ayer Hitam,Batu Pahat,Johor ,,,,,,1.93368,103.08321,0,0,NEW
40,KD01010035,KLINIK DESA SRI PAYA,Jalan Susur 1 Kelapa Sawit 1,86400,Parit Raja,Batu Pahat,Johor ,,,,,,1.84388,103.14597,0,0,NEW
41,KD01010042,KLINIK DESA SUNGAI AYAM,Jalan Sungai Ayam,83000,Batu Pahat,Batu Pahat,Johor ,,,,,,1.78632,102.93634,0,0,NEW
42,KD01010018,KLINIK DESA SUNGAI LINAU KECIL,Jalan Bukit Gambir,83000,Tongkang Pecah,Batu Pahat,Johor ,,,,,,1.87253,102.93067,0,0,NEW
43,KD01010040,KLINIK DESA SUNGAI MERLONG,"Kampong Sungai Merlong, Jalan Pontian",83100,Rengit,Batu Pahat,Johor ,,,,,,1.66576,103.18359,0,0,NEW
44,KD01010039,KLINIK DESA SUNGAI NIBONG,Jalan Muar,83100,Semerah,Batu Pahat,Johor ,,,,,,1.92031,102.79886,0,0,NEW
45,KD01010037,KLINIK DESA TALANG BUNUT,"Jalan Durian, Parit Raja",86400,Parit Raja,Batu Pahat,Johor ,,,,,,1.90366,103.12825,0,0,NEW
46,KD01010041,KLINIK DESA TANJUNG LABOH,Jalan Tanjung Laboh,83200,Senggarang,Batu Pahat,Johor ,,,,,,1.75515,103.01356,0,0,NEW
47,KD01010036,KLINIK DESA TANJUNG SEMBERONG,"Jalan Bunga Tanjung, Taman Limpoon",86400,Sri Gading,Batu Pahat,Johor ,,,,,,1.84611,102.94493,0,0,NEW
48,KD01020002,KLINIK DESA ANTOI,"JKR 2170, Jalan Bunga Antu, Kampung Dato Sulaiman Menteri",81100,Johor Bahru,Johor Bahru,Johor ,,,,,,1.506667,103.768932,0,0,NEW
49,KD01020014,KLINIK DESA BAKAR BATU,"JKR 3302, Jalan Sekolah",80150,Johor ,Johor Bahru,Johor ,,,,,,1.49833,103.78583,0,0,NEW
50,KD01020005,KLINIK DESA FELDA ULU TEBRAU,LOT JKR 3195 F,81800,Ulu Tebrau,Johor Bahru,Johor ,,,,,,1.63325,103.75984,0,0,NEW
51,KD01020019,KLINIK DESA KAMPUNG CAHAYA BARU,"Felda Kampung Chaya Baru, Jalan Dahlia, Kota Masai",81750,Masai,Johor Bahru,Johor ,,,,,,1.52397,103.935,0,0,NEW
52,KD01020012,KLINIK DESA KAMPUNG PULAI,Jalan Pulai,81550,Gelang Patah,Johor Bahru,Johor ,,,,,,1.477146,103.566077,0,0,NEW
53,KD01020009,KLINIK DESA KANGKAR PULAI,Jalan Kangkar Pulai,81110,Johor Bahru,Johor Bahru,Johor ,,,,,,1.55772,103.592255,0,0,NEW
54,KD01020031,KLINIK DESA KANGKAR TEBRAU,"JKR 2163, Jalan Kangkar Tebrau",81100,Johor,Johor Bahru,Johor ,,,,,,1.53564,103.757951,0,0,NEW
55,KD01020015,KLINIK DESA KEMPAS,"Jalan Lurah Dua, Persiaran Kempas Baru",81200,Johor,Johor Bahru,Johor ,,,,,,1.53267,103.71484,0,0,NEW
56,KD01020006,KLINIK DESA KONG KONG LAUT,"JKR 4640, Kampung Kong Kong Laut",81750,Masai,Johor Bahru,Johor ,,,,,,1.51854,103.99469,0,0,NEW
57,KD01020004,KLINIK DESA LIMA KEDAI,Klinik Desa Lima Kedai Jalan Gelang Patah,81120,Johor Bahru,Johor Bahru,Johor ,,,,,,1.50216,103.61673,0,0,NEW
58,KD01020017,KLINIK DESA MAJU JAYA,JKR 4798 Kampung Maju Jaya,81300,Johor,Johor Bahru,Johor ,,,,,,1.58128,103.71783,0,0,NEW
59,KD01020016,KLINIK DESA PASIR PUTIH,"JKR 4498, Pasir Gudang",81700,Pasir Gudang,Johor Bahru,Johor ,,,,,,1.43489,103.93095,0,0,NEW
60,KD01020008,KLINIK DESA PAYA MENGKUANG,Dewan Raya Desa Paya Mengkuang,81560,Gelang Patah,Johor Bahru,Johor ,,,,,,1.37694,103.59361,0,0,NEW
61,KD01020026,KLINIK DESA PERMAS JAYA,"JKR 5942, Jalan Permas 1/27, Permas Jaya",81750,Masai,Johor Bahru,Johor ,,,,,,1.51017,103.82005,0,0,NEW
62,KD01020024,KLINIK DESA PLENTONG,Jalan Masai Jaya,81750,Masai,Johor Bahru,Johor ,,,,,,1.52262,103.82061,0,0,NEW
63,KD01020021,KLINIK DESA SKUDAI,Jalan Lawang,81200,Skudai,Johor Bahru,Johor ,,,,,,1.53821,103.66023,0,0,NEW
64,KD01020025,KLINIK DESA SUNGAI MELAYU,"JKR 2168, Kampung Sungai Melayu",81400,Tampoi,Johor Bahru,Johor ,,,,,,1.4519,103.69329,0,0,NEW
65,KD01020030,KLINIK DESA SUNGAI TIRAM,"JKR 5899, Jalan Sungai Tiram",81800,Ulu Tiram,Johor Bahru,Johor ,,,,,,1.5854,103.88062,0,0,NEW
66,KD01020028,KLINIK DESA TANJONG LANGSAT,"JKR 4597, Kampung Tanjong Langsat, Jalan Langsat",81757,Kampung Pasir,Johor Bahru,Johor ,,,,,,1.46822,104.00688,0,0,NEW
67,KD01020011,KLINIK DESA TIRAM DUKU,Jalan Abu Talib,81560,Gelang Patah,Johor Bahru,Johor ,,,,,,1.38243,103.56832,0,0,NEW
68,KD01030002,KLINIK DESA CHAMEK,"JKR 139, Jalan Klinik",86600,Paloh,Kluang,Johor ,,,,,,2.14081,103.240242,0,0,NEW
69,KD01030017,KLINIK DESA FELCRA BATU 4 1/2 PALOH, BATU 4 1/2 PALOH,86000,Paloh,Kluang,Johor ,,,,,,2.16738,103.13272,0,0,NEW
70,KD01030003,KLINIK DESA FELDA AIR HITAM,Jalan Batu Pahat,86000,Kluang,Kluang,Johor ,,,,,,1.948206,103.23256,0,0,NEW
71,KD01030004,KLINIK DESA FELDA KAHANG BARAT,Wakil Pos Felda Kahang Barat,86000,Kluang,Kluang,Johor ,,,,,,2.03306,103.42,0,0,NEW
72,KD01030010,KLINIK DESA FELDA LAYANG-LAYANG,"Batu 38, Felda Layang-Layang, Jalan Johor",86200,Kluang,Kluang,Johor ,,,,,,1.81845,103.47349,0,0,NEW
73,KD01030008,KLINIK DESA FELDA ULU PENGGELI,Felda Ulu Penggeli,86000,Kluang,Kluang,Johor ,,,,,,1.91647,103.5252,0,0,NEW
74,KD01030009,KLINIK DESA KAHANG BATU 28,"JKR 1385, Jalan Mersing",86700,Kahang,Kluang,Johor ,,,,,,2.26698,103.60884,0,0,NEW
75,KD01030005,KLINIK DESA KAMPUNG GAJAH,Jalan Mersing,86000,Kluang,Kluang,Johor ,,,,,,2.10405,103.39596,0,0,NEW
76,KD01030015,KLINIK DESA KAMPUNG NYIOR,Jalan Ujong,84200,Kluang,Kluang,Johor ,,,,,,2.09163,103.278909,0,0,NEW
77,KD01030001,KLINIK DESA KAMPUNG PAYA, Jalan Sultanah,86000,Kluang,Kluang,Johor ,,,,,,2.04472,103.33333,0,0,NEW
78,KD01030016,KLINIK DESA KAMPUNG TENGAH,Jalan Sultanah,86000,Kluang,Kluang,Johor ,,,,,,2.05287,103.3465,0,0,NEW
79,KD01030006,KLINIK DESA KAMPUNG TENGAH RENGGAM,"JKR 1363, Jalan Kampung Tengah ",86300,Kluang,Kluang,Johor ,,,,,,1.84148,103.4113,0,0,NEW
80,KD01030013,KLINIK DESA MACAP,"Jalan Simpang Renggam Layang, Kampung Macap",86200,Simpang Renggam,Kluang,Johor ,,,,,,1.87703,103.26819,0,0,NEW
81,KD01030011,KLINIK DESA PARIT HAJI HASYIM,Jalan Batu Pahat,86200,Simpang Renggam,Kluang,Johor ,,,,,,1.80934,103.30483,0,0,NEW
82,KD01030019,KLINIK DESA PARIT IBRAHIM MAJID,"Jalan Ibrahim, Taman Intan",86200,Simpang Renggam,Kluang,Johor ,,,,,,2.024283,103.317789,0,0,NEW
83,KD01030007,KLINIK DESA SRI LALANG,Jalan Paya,86000,Kluang,Kluang,Johor ,,,,,,1.99118,103.25408,0,0,NEW
84,KD01030018,KLINIK DESA SUNGAI LINAU,"Batu 38, Kampong. Sg. Linau, Ladang Nenas",86200,Simpang Renggam,Kluang,Johor ,,,,,,1.830082,103.264961,0,0,NEW
85,KD01030014,KLINIK DESA SUNGAI SAYONG,Simpang Renggam Kluang,86300,Kluang,Kluang,Johor ,,,,,,1.92102,103.37339,0,0,NEW
86,KD01030012,KLINIK DESA ULU BENUT,Jalan Parit Ismail,86200,Simpang Renggam,Kluang,Johor ,,,,,,1.85686,103.2985,0,0,NEW
87,KD01040026,KLINIK DESA TANJUNG SERINDIT,Jalan Serindit,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.496596,104.04431,0,0,NEW
88,KD01040005,KLINIK DESA AIR TAWAR 1 (FELDA),"Jalan Mersing, Felda Air Tawar 1",81920,Kota Tinggi,Kota Tinggi,Johor ,,,,,,2.13038,102.44822,0,0,NEW
89,KD01040010,KLINIK DESA AIR TAWAR 3 (FELDA),Felda Air Tawar 3,81920,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.70582,103.98697,0,0,NEW
90,KD01040009,KLINIK DESA AIR TAWAR 4 (FELDA),Felda Air Tawar 4,81920,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.627822,104.089408,0,0,NEW
91,          ,KLINIK DESA AIR TAWAR 5 (FELDA),"Jalan Raya Pengerang, Felda Air Tawar 5",81920,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.6008,104.08655,0,0,NEW
92,KD01040004,KLINIK DESA APING BARAT (FELDA),Felda Bukit Aping Barat,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.825254,103.992827,0,0,NEW
93,KD01040018,KLINIK DESA APING TIMUR (FELDA),Jalan Kolam Air,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.83221,104.02162,0,0,NEW
94,KD01040001,KLINIK DESA BATU 4,Batu 4,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.77562,103.87379,0,0,NEW
95,KD01040002,KLINIK DESA BUKIT RAMUN (FELDA),Felda Bukit Ramun,81450,Kulaijaya,Kota Tinggi,Johor ,,,,,,1.753907,103.726301,0,0,NEW
96,KD01040028,KLINIK DESA GEMBUT,Jalan Gembut,81910,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.90299,104.06068,0,0,NEW
97,KD01040019,KLINIK DESA KAMPUNG LINTING,Kampung Linting,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.48408,104.0575,0,0,NEW
98,KD01040016,KLINIK DESA KUALA SEDILI KECIL,Kuala Selidi Kecil,81910,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.84128,104.14571,0,0,NEW
99,KD01040015,KLINIK DESA LINGGIU (FELDA),Felda Linggiu,81907,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.825833,103.76838,0,0,NEW
100,KD01040007,KLINIK DESA MAWAI BARU,Jalan Mawai,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.85169,103.97943,0,0,NEW
101,KD01040003,KLINIK DESA PASAK (FELDA),Kampung Felda Pasak,81960,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.71273,103.95592,0,0,NEW
102,KD01040025,KLINIK DESA PASIR GOGOK,Jalan Tanjung Belungkor,81600,Pengerang,Kota Tinggi,Johor ,,,,,,1.41934,104.1026,0,0,NEW
103,KD01040027,KLINIK DESA PASIR RAJA (FELDA),Felda Pasir Raja,81910,Pasir Raja,Kota Tinggi,Johor ,,,,,,1.7603,103.67594,0,0,NEW
104,KD01040021,KLINIK DESA PETRI JAYA,Petri Jaya,81907,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.82583,103.76838,0,0,NEW
105,KD01040022,KLINIK DESA SEMANGGAR,"Jalan Kulai-Kota Tinggi, Kampung Semanggar",81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.75452,103.78254,0,0,NEW
106,KD01040006,KLINIK DESA SEMENCHU (FELDA),"Jalan Besar, Felda Semencu",81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.57162,104.10218,0,0,NEW
107,KD01040029,KLINIK DESA SG. TELOR,Jalan Kulai-Kota Tinggi,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.728544,103.826036,0,0,NEW
108,KD01040024,KLINIK DESA SUNGAI ARA (FELCRA),Felcra Sungai Ara,81907,Kota Tinggi,Kota Tinggi,Johor ,,,,,,2.01053,103.8615,0,0,NEW
109,KD01040023,KLINIK DESA SUNGAI KAPAL,"Jalan Tanjung Pengelih, Kampung Sungai Kapal",81600,Pengerang,Kota Tinggi,Johor ,,,,,,1.35313,104.1798,0,0,NEW
110,KD01040017,KLINIK DESA SUNGAI SAYONG (FELDA),Felda Sungai Sayong,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.78483,103.68386,0,0,NEW
111,KD01040030,KLINIK DESA SUNGAI SIBOL / PENGGELI (FELDA),"Felda Sungai Sibol, Jalan Mawar",81000,Kulaijaya,Kota Tinggi,Johor ,,,,,,1.84553,103.63925,0,0,NEW
112,KD01040011,KLINIK DESA TANJONG BUAI,"Kampong Tanjung Buai, Sungai Lebam",81940,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.49792,104.04394,0,0,NEW
113,KD01040012,KLINIK DESA TELOK SENGAT,Jalan Todak,81940,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.56298,104.02915,0,0,NEW
114,KD01040013,KLINIK DESA TELUK RAMUNIA,"Jalan Desaru, Kampung Teluk Ramunia",81620,Pengerang,Kota Tinggi,Johor ,,,,,,1.37243,104.24753,0,0,NEW
115,KD01040014,KLINIK DESA TENGGAROH SELATAN 1,Tenggarong Selatan 1,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.98904,104.08737,0,0,NEW
116,KD01040020,KLINIK DESA TUNJUK LAUT (RUMAH LADANG),Kampung Tunjuk Laut,81900,Kota Tinggi,Kota Tinggi,Johor ,,,,,,1.4652,104.0431,0,0,NEW
117,KD01020027,KLINIK DESA AIR BEMBAN,"JKR 3752, Jalan Air Hitam",81200,Kulai,Kulai Jaya,Johor ,,,,,,1.69662,103.48971,0,0,NEW
118,KD01020001,KLINIK DESA BUKIT BATU (FELDA),"JKR 2734, Jalan Klinik, Felda Bukit Batu",81000,Kulai,Kulai Jaya,Johor ,,,,,,1.728973,103.444133,0,0,NEW
119,KD01020018,KLINIK DESA BUKIT PERMAI (FELDA),Jalan Masjid,81850,Kulai,Kulai Jaya,Johor ,,,,,,1.76745,103.52046,0,0,NEW
120,KD01020020,KLINIK DESA FELDA INAS,JKR1320 Felda Inas,81200,Kulai,Kulai Jaya,Johor ,,,,,,1.77256,103.61011,0,0,NEW
121,,KLINIK DESA KAMPUNG BAHAGIA,Jalan Mawar Kampung Bahagia,81000,Kulai Jaya,Kulai Jaya,Johor ,07-6540514,,,,,1.73138,103.64521,0,0,NEW
122,KD01020010,KLINIK DESA KAMPUNG BUKIT BATU,"Jalan Air Hitam, Kampung Bukit Batu",81200,Kulai,Kulai Jaya,Johor ,,,,,,1.728973,103.444133,0,0,NEW
123,KD01020007,KLINIK DESA KELAPA SAWIT,Jalan Ayer Hitam,81030,Kulai Jaya,Kulai Jaya,Johor ,,,,,,1.66868,103.53304,0,0,NEW
124,KD01020023,KLINIK DESA SALENG,"Jalan Susur Saleng, Saleng",81120,Kulai Jaya,Kulai Jaya,Johor ,,,,,,1.63198,103.63384,0,0,NEW
125,KD01020029,KLINIK DESA SEDENAK,Jalan Sedenak,81000,Kulai,Kulai Jaya,Johor ,,,,,,1.71151,103.52617,0,0,NEW
126,KD01020022,KLINIK DESA SENAI,Senai,81120,Kulai Jaya,Kulai Jaya,Johor ,,,,,,1.59937,103.64472,0,0,NEW
127,KD01020003,KLINIK DESA ULU CHOH,"JKR 2249, Klinik Bidan, Jalan Pontian",81150,Kulai Jaya,Kulai Jaya,Johor ,,,,,,1.53,103.54528,0,0,NEW
128,KD01060006,KLINIK DESA BEKOH BELADANG,"Klinik Desa Bekoh Beladang, Kampung Paya Mas",84900,Tangkak,Ledang,Johor ,,,,,,2.349465,102.521024,0,0,NEW
129,,KLINIK DESA BUKIT KANGKAR,"Batu 19 1/2 Jalan Muar, Sungai Mati",84400,Ledang,Ledang,Johor ,,,,,,2.18025,102.55085,0,0,NEW
130,KD01060033,KLINIK DESA KAMPUNG SAGIL,"Kampung Sagil Parit, Jalan Kampung Konggo",84020,Tangkak,Ledang,Johor ,,,,,,2.30359,102.61196,0,0,NEW
131,KD01060038,KLINIK DESA KAMPUNG TERATAI,"JKR 1118, Kampung Teratai",84020,Sagil,Ledang,Johor ,,,,,,2.33577,102.72293,0,0,NEW
132,KD01060043,KLINIK DESA KEBUN BARU,Kebun Baru,84020,Sagil,Ledang,Johor ,,,,,,2.39487,102.68477,0,0,NEW
133,KD01060063,KLINIK DESA KESANG,"Jalan Bukit Gambir, Kampung Kesang",84800,Sg. Mati,Ledang,Johor ,,,,,,2.13689,102.54194,0,0,NEW
134,KD01060066,KLINIK DESA KUNDANG ULU,Jalan Bukit Gambir,84600,Gersik,Ledang,Johor ,,,,,,2.23516,102.76944,0,0,NEW
135,KD01060007,KLINIK DESA PANTAI LAYANG,"Kampung Pantai Layang, Jalan Pantai Layang",84400,Sungai Mati,Ledang,Johor ,,,,,,2.12002,102.57941,0,0,NEW
136,KD01060016,KLINIK DESA PARIT RAJA,"JKR 1957, Kampung Parit Raja",84700,Parit Raja,Ledang,Johor ,,,,,,1.86368,103.10959,0,0,NEW
137,KD01060025,KLINIK DESA PARIT ZING,Jalan Bukit Gambir,84400,Bukit Gambir,Ledang,Johor ,,,,,,2.18998,102.62157,0,0,NEW
138,KD01060018,KLINIK DESA PAYA KEPONG,Kampung Paya Kepong,84900,Tangkak,Ledang,Johor ,,,,,,2.21667,102.5,0,0,NEW
139,KD01060031,KLINIK DESA RAWANG,Kampung Rawang,84900,Muar,Ledang,Johor ,,,,,,2.12243,102.55663,0,0,NEW
140,KD01060009,KLINIK DESA SAWAH RING,"Jalan Bukit Gambir, Kampung Sawah Ring",84700,Gersik,Ledang,Johor ,,,,,,2.2219,102.67633,0,0,NEW
141,KD01060010,KLINIK DESA SENGKANG BATU 18,"Jalan Tepi Tali Air, Kampung Sengkang Batu 18",84800,Bukit Gambir,Ledang,Johor ,,,,,,2.25067,102.67147,0,0,NEW
142,KD01060011,KLINIK DESA SENGKANG BATU 20,"Klinik Desa Sengkang Batu 20, Kampung Sengkang Batu 20",84800,Bukit Gambir,Ledang,Johor ,,,,,,2.27226,102.69109,0,0,NEW
143,KD01060012,KLINIK DESA SEROM 1,Jalan Serom,84410,Sangai Mati,Ledang,Johor ,,,,,,2.14714,102.58091,0,0,NEW
144,KD01060036,KLINIK DESA SEROM 2,Serom 2,84900,Muar,Ledang,Johor ,,,,,,2.180542,102.573904,0,0,NEW
145,KD01060034,KLINIK DESA SEROM 3,Serom 3,84900,Muar,Ledang,Johor ,,,,,,2.16263,102.58606,0,0,NEW
146,KD01060028,KLINIK DESA SEROM 6,Jalan Bukit Gambir,84600,Gersik,Ledang,Johor ,,,,,,2.20879,102.60571,0,0,NEW
147,KD01060049,KLINIK DESA SIALANG,"Jalan Ong Siong, Kampung Sailang, Paya Mas",84900,Tangkak,Ledang,Johor ,,,,,,2.284486,102.51773,0,0,NEW
148,KD01060065,KLINIK DESA SIMPANG LIMA DARAT,"JKR 2787, Kampung Simpang Lima Darat",84800,Muar,Ledang,Johor ,,,,,,2.22814,102.6198,0,0,NEW
149,KD01060059,KLINIK DESA SIMPANG LIMA PEKAN,"Jalan Bukit Gambir, Kampung Simpang Lima",84800,Bukit Gambir,Ledang,Johor ,,,,,,2.19885,102.63573,0,0,NEW
150,KD01060052,KLINIK DESA SRI JAYA (FELDA),JKR 1082,84700,Bukit Serampang,Ledang,Johor ,,,,,,2.34377,102.78773,0,0,NEW
151,KD01060062,KLINIK DESA SRI LEDANG(FELDA),JKR 2547,84020,Jementah,Ledang,Johor ,,,,,,2.39237,102.75832,0,0,NEW
152,KD01060050,KLINIK DESA SRI MAKMOR,Jalan Payamas,84900,Tangkak,Ledang,Johor ,,,,,,2.25685,102.5271,0,0,NEW
153,KD01060047,KLINIK DESA SUNGAI BILAH,Jalan Sungai Bilah,84800,Bukit Gambir,Ledang,Johor ,,,,,,2.19834,102.66262,0,0,NEW
154,KD01060051,KLINIK DESA TELOK BAKONG,Telok Bakong,84900,Muar,Ledang,Johor ,,,,,,2.13333,102.61667,0,0,NEW
155,KD01060044,KLINIK DESA TELOK RIMBA,"Jalan Telok Rimba, Kampung Teluk Rimba",84400,Bukit Pasir,Ledang,Johor ,,,,,,2.18079,102.513,0,0,NEW
156,KD01050011,KLINIK DESA FELDA ENDAU,Felda Endau,86800,Mersing,Mersing,Johor ,,,,,,2.61342,103.66813,0,0,NEW
157,KD01050001,KLINIK DESA KAMPUNG HUBONG,Jalan Kampung Hubong,86800,Endau,Mersing,Johor ,,,,,,2.63219,103.64122,0,0,NEW
