"id","facilities_id","name","address","postcode","city","district","state","tel","fax","website","latitude","longitude","image","likes","rating","status"
"51","GH01080001","HOSPITAL SEGAMAT","KM 6 Jalan Genuang","85000","Segamat","Segamat","Johor","07-9433333","07-9434641","hospsg@moh.gov.my","2.50516000","102.81534000","hospital.jpg","0","0","NEW"
"52","GH02080001","HOSPITAL BALING","Jalan Hospital","09100","Baling","Baling","Kedah","04-4701333","04-4701160","http://hbaling.moh.gov.my","5.67873400","100.92521000","hospital.jpg","0","0","NEW"
"53","GH02010001","HOSPITAL SULTANAH BAHIYAH","KM 6, Jalan Langgar","05460","Alor Star","Kota Setar","Kedah","04-7303333","04-7323770","http://hsb.moh.gov.my","6.14840400","100.40678800","hospital.jpg","0","0","NEW"
"57","GH02050001","HOSPITAL SULTAN ABDUL HALIM, SUNGAI PETANI","Lencongan Timur Barat Aman Jaya","08000","Sungai Petani","Kuala Muda","Kedah","04-4480095","04-4480092","http://hsah.moh.gov.my","5.66961300","100.51649900","hospital.jpg","0","0","NEW"
"65","GH02020001","HOSPITAL JITRA","Jalan Changlun","06000","Jitra","Kubang Pasu","Kedah","04-9174333","04-9176346",,"6.27828500","100.41974800","hospital.jpg","0","0","NEW"
"68","GH02090001","HOSPITAL KULIM","Jalan Machang","09000","Kulim","Kulim","Kedah","04-4909975","04-4900760","http://hkulim.moh.gov.my","5.39317300","100.57332900","hospital.jpg","0","0","NEW"
"71","GH02040001","HOSPITAL LANGKAWI","Bukit Teguh","07000","Langkawi","Langkawi","Kedah","04-9663333","04-9660121",,"6.32540400","99.79659600","hospital.jpg","0","0","NEW"
"72","GH02030001","HOSPITAL KUALA NERANG","Nerang","06300","Kuala Nerang","Padang Terap","Kedah","04-7867050","04-7867052","http://hknerang.moh.gov.my","6.25225500","100.60943800","hospital.jpg","0","0","NEW"
"73","GH02070001","HOSPITAL SIK","Sik","08200","Sik","Sik","Kedah","04-4695333","04-4695990","hsik@moh.gov.my","5.81151400","100.72729900","hospital.jpg","0","0","NEW"
"74","GH02060001","HOSPITAL YAN","Yan","06900","Yan","Yan","Kedah","04-4655333","04-4655960","http://.hyan.moh.gov.my","5.82089300","100.38438800","hospital.jpg","0","0","NEW"
"75","GH03080001","HOSPITAL GUA MUSANG","Bandar Baru","18300","Gua Musang","Gua Musang","Kelantan","09-9133300","09-9121302","http://hogum.moh.gov.my","4.85825500","101.95468300","hospital.jpg","0","0","NEW"
"76","GH03110001","HOSPITAL JELI","Hospital Jeli","17600","Jeli","Jeli","Kelantan","09-9443300","09-9440068",,"5.70115600","101.84446100","hospital.jpg","0","0","NEW"
"78","GH03020002","HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU","Jalan Hospital","15586","Kota Bharu","Kota Bharu","Kelantan","09-7485533","09-7486951","http://hrpz2.moh.gov.my","6.12556700","102.24569100","hospital.jpg","0","0","NEW"
"83","GH03100001","HOSPITAL KUALA KRAI","Jalan Kota Bharu","18000","Kuala Krai","Kuala Krai","Kelantan","09-9666333","09-9666076",,"5.53563600","102.19928200","hospital.jpg","0","0","NEW"
"84","GH03030001","HOSPITAL MACHANG","Jalan Pasir Puteh","18500","Machang","Machang","Kelantan","09-9752533","09-9752470",,"5.76327600","102.22492100","hospital.jpg","0","0","NEW"
"85","GH03040001","HOSPITAL PASIR MAS","Jalan Meranti","17000","Pasir Mas","Pasir Mas","Kelantan","09-7909333","09-7900996","http://hmas.moh.gov.my","6.01431600","102.11910100","hospital.jpg","0","0","NEW"
"86","GH03050001","HOSPITAL TENGKU ANIS, PASIR PUTEH","Jalan Pasir Puteh","16800","Pasir Puteh","Pasir Puteh","Kelantan","09-7866333","09-7868558",,"5.83286600","102.38750200","hospital.jpg","0","0","NEW"
"87","GH03060001","HOSPITAL TANAH MERAH","Jalan Hospital","17500","Tanah Merah","Tanah Merah","Kelantan","09-9557333","09-9557929","htm@klt.moh.gov.my","5.80969600","102.15254100","hospital.jpg","0","0","NEW"
"88","GH03070001","HOSPITAL TUMPAT","Jalan Kelaburan","16200","Tumpat","Tumpat","Kelantan","09-7257533","09-7257082","http://www.htumpat.moh.gov.my","6.18989600","102.15718100","hospital.jpg","0","0","NEW"
"89","GH04030001","HOSPITAL ALOR GAJAH","Hospital Alor Gajah","78000","Alor Gajah","Alor Gajah","Melaka","06-5561400","06-5568369",,"2.38101500","102.20735200","hospital.jpg","0","0","NEW"
"90","GH04020001","HOSPITAL JASIN","Hospital Jasin","77000","Jasin","Jasin","Melaka","06-5294262","06-5295262","http://hjasin.moh.gov.my","2.30479600","102.42850200","hospital.jpg","0","0","NEW"
"91","GH04010001","HOSPITAL MELAKA","Jalan Mufti Haji Khalil","75400","Melaka Tengah","Melaka Tengah","Melaka","06-2892344","06-2841590","http://hmelaka.moh.gov.my","2.21864500","102.26040300","hospital.jpg","0","0","NEW"
"98","GH05010001","HOSPITAL JELEBU","71600 Jelebu","71600","Jelebu","Jelebu","N. Sembilan","06-6136355","06-6137531","http://hjelebu.moh.gov.my","2.95043400","102.05888900","hospital.jpg","0","0","NEW"
"99","GH05070001","HOSPITAL JEMPOL","Bandar Seri Jempol","72120","Jempol","Jempol","N. Sembilan","06-4592000","06-4581086","http://www.hjempol.gov.my","2.90346600","102.40637000","hospital.jpg","0","0","NEW"
"100","GH05020001","HOSPITAL TUANKU AMPUAN NAJIHAH, KUALA PILAH","KM 3 Jalan Melang","72000","Kuala Pilah","Kuala Pilah","N. Sembilan","06-4818001","06-4818010","http://www.htan.moh.gov.my","2.73334500","102.23188000","hospital.jpg","0","0","NEW"
"101","GH05030001","HOSPITAL PORT DICKSON","KM 11, Jalan Pantai","71050","Si Rusa Port Dickson","Port Dickson","N. Sembilan","06-6626333","06-6625003","http://www.hpd.moh.gov.my","2.47780300","101.85520100","hospital.jpg","0","0","NEW"
"102","GH05050001","HOSPITAL TUANKU JA'AFAR, SEREMBAN","Jalan Rasah","70300","Seremban","Seremban","N. Sembilan","06-7623333","06-7625771","http://www.htjs.gov.my","2.70976400","101.94472000","hospital.jpg","0","0","NEW"
"111","GH05060001","HOSPITAL TAMPIN","Jalan Haji Ahmad Zainuddin","73009","Tampin","Tampin","N. Sembilan","06-4411511","06-4419610","http://www.htampin.moh.gov.my","2.47115500","102.22821200","hospital.jpg","0","0","NEW"
"112","GH06010001","HOSPITAL BENTONG","Bentong","28700","Bentong","Bentong","Pahang","09-2223333","09-2224494","http://hspben.moh.gov.my","3.52614400","101.90634700","hospital.jpg","0","0","NEW"
"113","GH06020001","HOSPITAL SULTANAH HAJJAH KALSOM, CAMERON HIGHLANDS","Jalan Persiaran Dayang Endah","39000","Tanah Rata","Cameron Highlands","Pahang","05-4911966","05-4914355","www.hcameron.moh.gov.my","4.46680300","101.39067300","hospital.jpg","0","0","NEW"
"114","GH06030001","HOSPITAL JERANTUT","Jerantut","27000","Jerantut","Jerantut","Pahang","09-2663333","09-2661462",,"3.92924600","102.36070600","hospital.jpg","0","0","NEW"
"115","GH06040001","HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN","Jalan Tanah Putih","25100","Kuantan","Kuantan","Pahang","09-5572222","09-5142712",,"3.79925900","103.32120600","hospital.jpg","0","0","NEW"
"124","GH06050001","HOSPITAL KUALA LIPIS","Jalan Pekeliling","27200","Kuala Lipis","Lipis","Pahang","09-3123333","09-3121787","hsplip@phg.moh.gov.my","4.18354000","102.05501000","hospital.jpg","0","0","NEW"
"125","GH06100001","HOSPITAL JENGKA","Bandar Pusat Jengka","26400","Bandar Pusat Jengka","Maran","Pahang","09-4662333","09-4663215",,"3.77243600","102.55277600","hospital.jpg","0","0","NEW"
"127","GH06060001","HOSPITAL PEKAN","Jalan Batu Balik","26600","Pekan","Pekan","Pahang","09-4223333","09-4222280","hsppek@phg.moh.gov.my","3.50305900","103.37975700","hospital.jpg","0","0","NEW"
"128","GH06070001","HOSPITAL RAUB","Jalan Tengku Abd Samad","27600","Raub","Raub","Pahang","09-3553333","09-3554331","hsprau@moh.gov.my","3.80994400","101.85223600","hospital.jpg","0","0","NEW"
"129","GH06090001","HOSPITAL MUADZAM SHAH","Jalan Kemajuan","26700","Muadzam Shah","Rompin","Pahang","09-4523333","09-4523055","http://hshah.moh.gov.my","3.05308900","103.09174900","hospital.jpg","0","0","NEW"
"130","GH06080001","HOSPITAL SULTAN HJ AHMAD SHAH, TEMERLOH","Jalan Maran","28000","Temerloh","Temerloh","Pahang","09-2955333","09-2972468","http://hoshas.moh.gov.my","3.45393600","102.45188700","hospital.jpg","0","0","NEW"
"133","GH07050001","HOSPITAL BALIK PULAU","Jalan Balik Pulau","11000","Balik Pulau","Daerah Barat Daya","P. Pinang","04-8669333","04-8666058","hbpulau.moh.gov.my","5.35058200","100.23308900","hospital.jpg","0","0","NEW"
"134","GH07040001","HOSPITAL PULAU PINANG","Pejabat Pengarah Hospital, Hospital Pulau Pinang, Jalan Residensi","10990","Georgetown","Daerah Timur Laut","P. Pinang","04-2225333","04-2281737","http://hpp.moh.gov.my","5.42021000","100.30957000","hospital.jpg","0","0","NEW"
"155","GH07030001","HOSPITAL SUNGAI BAKAP","Jalan Besar Sungai Bakap","14200","Seberang Prai","Seberang Prai Selatan","P. Pinang","04-5822494/ 04-58243","04-5822494",,"5.21851200","100.49741000","hospital.jpg","0","0","NEW"
"156","GH07010002","HOSPITAL SEBERANG JAYA","Jalan Tun Hussein Onn","13700","Seberang Jaya","Seberang Prai Tengah","P. Pinang","04-3827333","04-3970754","http://hsbjy.moh.gov","5.39491200","100.40650900","hospital.jpg","0","0","NEW"
"157","GH07010003","HOSPITAL BUKIT MERTAJAM","Jalan Kulim","14000","P. Pinang","Seberang Prai Tengah","P. Pinang","04-5382333","04-5388435",,"5.35989200","100.46459900","hospital.jpg","0","0","NEW"
"164","GH07020001","HOSPITAL KEPALA BATAS","Jalan Bertam 2","13200","Kepala Batas","Seberang Prai Utara","P. Pinang","04-5793333","04-5791088","http://hkbatas.moh.gov.my","5.51239000","100.43688000","hospital.jpg","0","0","NEW"
"166","GH08010001","HOSPITAL SLIM RIVER","Jalan Hospital","35900","Slim River","Batang Padang","Perak","05-4526467","05-4526697","http://hsr.moh.gov.my","3.83764200","101.40447500","hospital.jpg","0","0","NEW"
"167","GH08010002","HOSPITAL TAPAH","Jalan Temoh","35000","Tapah","Batang Padang","Perak","05-4011333","05-4012333","http://htapah.moh.gov.my","4.20098200","101.26038400","hospital.jpg","0","0","NEW"
"168","GH08070001","HOSPITAL TELUK INTAN","Jalan Changkat Jong","36000","Teluk Intan","Hilir Perak","Perak","05-6213333","05-6219546",,"4.00460100","101.04012400","hospital.jpg","0","0","NEW"
"173","GH08080001","HOSPITAL GERIK","Jalan Intan","33000","Grik","Hulu Perak","Perak","05-7911333","05-7911945","hgerik.moh.gov.my","5.42913400","101.12751100","hospital.jpg","0","0","NEW"
"174","GH08040001","HOSPITAL PARIT BUNTAR","Jalan Sempadan","34200","Parit Buntar","Kerian","Perak","05-7163333","05-7169675","http://hptar.moh.gov.my","5.13124200","100.48370000","hospital.jpg","0","0","NEW"
"175","GH08030001","HOSPITAL KAMPAR","Jalan Hospital","31900","Kampar","Kinta","Perak","05-4653333","05-4655664",,"4.31196200","101.15633300","hospital.jpg","0","0","NEW"
"176","GH08030002","HOSPITAL BATU GAJAH","Jalan Changkat","31000","Batu Gajah","Kinta","Perak","05-3663333","05-3663851","http://hbgjh.moh.gov.my","4.47959200","101.03394300","hospital.jpg","0","0","NEW"
"177","GH08030003","HOSPITAL IPOH","Jalan Hospital","30990","Ipoh","Kinta","Perak","05-2533333","05-2531541","http://hipoh.moh.gov.my","4.60379200","101.09019300","hospital.jpg","0","0","NEW"
"184","GH08050001","HOSPITAL KUALA KANGSAR","Jalan Sultan Idris Shah 1","33000","Kuala Kangsar","Kuala Kangsar","Perak","05-7763333","05-7769660","http://hkangsar.moh.gov.my","4.77326200","100.93182200","hospital.jpg","0","0","NEW"
"185","GH08050002","HOSPITAL SUNGAI SIPUT","Jalan Felda Lasah","31100","Sungai Siput","Kuala Kangsar","Perak","05-5983333","05-5971834","http:hsgsiput.moh.gov.my","4.82716300","101.05657200","hospital.jpg","0","0","NEW"
"186","GH08060001","HOSPITAL SELAMA","Jalan Taiping","34100","Selama","Larut, Matang & Selama","Perak","05-8083333","05-8394204","http://www.hselama.moh.gov.my","5.21312300","100.68887000","hospital.jpg","0","0","NEW"
"187","GH08060002","HOSPITAL TAIPING","Jalan Taming Sari","34000","Taiping","Larut, Matang & Selama","Perak","05-8083333","05-8073894","http://htaiping.moh.gov.my","4.85104200","100.73696100","hospital.jpg","0","0","NEW"
"192","GH08020001","HOSPITAL SERI MANJUNG","Seri Manjung","32040","Seri Manjung","Manjung - Dinding","Perak","05-6881333","05-6884013","http://www.hsmanjung.moh.gov.my","4.18568000","100.66216300","hospital.jpg","0","0","NEW"
"198","GH08100001","HOSPITAL CHANGKAT MELINTANG","Lambor Kanan","32900","Lambor Kanan","Perak Tengah","Perak","05-3761333","05-3761400","http://www.hcm.moh.gov.my","4.31271100","100.91029300","hospital.jpg","0","0","NEW"
"199","GH09000001","HOSPITAL TENGKU FAUZIAH","Jalan Kolam","01000","Kangar ","Perlis","Perlis","04-9763333","04-9767237","http://www.htf.gov.my","6.44099500","100.19133700","hospital.jpg","0","0","NEW"
"201","GH10090001","HOSPITAL SELAYANG","Lebuhraya Selayang-Kepong","68100","Batu Caves","Gombak","Selangor","03-61203233","03-61377097",,"3.24305300","101.64719800","hospital.jpg","0","0","NEW"
"202","GH10090002","HOSPITAL SUNGAI BULUH","Jalan Hospital","47000","Sungai Buloh","Gombak","Selangor","03-61454333","03-61454222",,"3.22011200","101.58302800","hospital.jpg","0","0","NEW"
"211","GH10060001","HOSPITAL KAJANG","Jalan Semenyih","43000","Kajang","Hulu Langat","Selangor","03-87343333","03- 87367527",,"2.99339300","101.79272900","hospital.jpg","0","0","NEW"
"212","GH10060002","HOSPITAL AMPANG","Jalan Mewah Utara, Pandan Mewah","68000","Ampang","Hulu Langat","Selangor","03-42896000","03-42954666","http://www.hamp.moh.gov.my","3.12827300","101.76337800","hospital.jpg","0","0","NEW"
"229","GH10070001","HOSPITAL KUALA KUBU BHARU","Jalan Hospital","44000","Kuala Kubu Bharu","Hulu Selangor","Selangor","03-60641333","03- 60643039","http://hkkb.moh.gov.my","3.56498300","101.65282700","hospital.jpg","0","0","NEW"
"231","GH10010001","HOSPITAL TENGKU AMPUAN RAHIMAH","Persiaran Tengku Ampuan Rahimah","41200","Klang ","Klang","Selangor","03- 33723333","03-233729089","http://htar.moh.gov.my","3.02008200","101.43985900","hospital.jpg","0","0","NEW"
"249","GH10020001","HOSPITAL BANTING","Jalan Sultan Alam Shah","42700","Banting","Kuala Langat","Selangor","03-31871333","03- 31871153",,"2.80347200","101.49389000","hospital.jpg","0","0","NEW"
"251","GH10040001","HOSPITAL TANJUNG KARANG","Jalan Besar","45500","Tanjung Karang","Kuala Selangor","Selangor","03-32698333","03-32695907",,"3.42499100","101.17910700","hospital.jpg","0","0","NEW"
"281","GH10050001","HOSPITAL TENGKU AMPUAN JEMAAH, SABAK BERNAM","Hospital Tengku Ampuan Jemaah, ","45200","Sabak Bernam","Sabak Bernam","Selangor","03-32163333","03-32164333",,"3.75992100","100.98907500","hospital.jpg","0","0","NEW"
"282","GH10100001","HOSPITAL SERDANG","Jalan Puchong","43300","Kajang","Sepang","Selangor","03-89475555","03-89475050",,"2.97626300","101.72018900","hospital.jpg","0","0","NEW"
"283","GH11010001","HOSPITAL SETIU","Bandar Permaisuri","22100","Setiu","Besut","Terengganu","09-6090333","09-6090377","http://www.hsetiu.moh.gov.my","5.51430700","102.77014200","hospital.jpg","0","0","NEW"
"284","GH11010002","HOSPITAL BESUT","Jerteh","22000","Besut","Besut","Terengganu","09-6971130","09-6972762","www.Hbesut.moh.gov.my","5.72907700","102.49345200","hospital.jpg","0","0","NEW"
"285","GH11020001","HOSPITAL DUNGUN","Jalan Gong Pasir 4","23000","Dungun","Dungun","Terengganu","09-8443333","09-8444160","http://hdungun.moh.gov.my","4.75208800","103.41445300","hospital.jpg","0","0","NEW"
"286","GH11050001","HOSPITAL HULU TERENGGANU","Batu 23 Jalan Kuala Berang","21700","Hulu Terengganu","Hulu Terengganu","Terengganu","09-6813333","09-6813099",,"5.07345700","103.04482300","hospital.jpg","0","0","NEW"
"287","GH11030001","HOSPITAL KEMAMAN","Jalan Dato Omar","24000","Kemaman","Kemaman","Terengganu","09-8593333","09-8595512","http://hkemamane trg","4.23205900","103.42088500","hospital.jpg","0","0","NEW"
"288","GH11040001","HOSPITAL SULTANAH NUR ZAHIRAH, KUALA TERENGGANU","Jalan Sultan Mahmud","20400","Kuala Terengganu","Kuala Terengganu","Terengganu","09-6233333","09-6221820",,"5.32431700","103.15129200","hospital.jpg","0","0","NEW"
"292","GH12170001","HOSPITAL BEAUFORT","Peti Surat 40","89807","Beaufort","Beaufort","Sabah","087-212333","087-211725","http://hbeaufort.moh.gov.my","5.35096700","115.74092900","hospital.jpg","0","0","NEW"
"293","GH12130001","HOSPITAL KENINGAU","Km 5 , Jalan Apin-apin , Peti Surat 11","89007","Keningau","Keningau","Sabah","087-313000","087-331595",,"5.34077000","116.15946000","hospital.jpg","0","0","NEW"
"294","GH12090001","HOSPITAL KINABATANGAN","W.D.T 200","90020","Kinabatangan","Kinabatangan","Sabah","089-561858","089-561854",,"5.58530000","117.85000000","hospital.jpg","0","0","NEW"
"295","GH12030001","HOSPITAL KOTA BELUD","Peti Surat 159","89150","Kota Belud","Kota Belud","Sabah","088-976333","088-976911","http://hkotabelud.moh.gov.my","6.34570000","116.42669000","hospital.jpg","0","0","NEW"
"296","GH12010001","HOSPITAL LIKAS","Karung Berkunci 187","88996","Kota Kinabalu","Kota Kinabalu","Sabah","088-522600","088-438512","http://hwkks.moh.gov.my","6.01396000","116.11912000","hospital.jpg","0","0","NEW"
"297","GH12010002","HOSPITAL QUEEN ELIZABETH, KOTA KINABALU","Karung Berkunci No.2029","88586","Kota Kinabalu","Kota Kinabalu","Sabah","088-517555","088-318605","http://qeh.moh.gov.my","5.95658800","116.07273500","hospital.jpg","0","0","NEW"
"304","GH12220001","HOSPITAL KOTA MARUDU","Peti Surat 255","89108","Kota Marudu","Kota Marudu","Sabah","088-661984","088-663759",,"6.45728000","116.77499000","hospital.jpg","0","0","NEW"
"305","GH12180001","HOSPITAL KUALA PENYU","W.D.T. 35","89740","Kuala Penyu","Kuala Penyu","Sabah","087-853100","087-884212","http://hspkpyu.moh.gov.my","5.56080000","115.58533000","hospital.jpg","0","0","NEW"
"306","GH12050001","HOSPITAL KUDAT","Peti Surat 22","89057","Kudat","Kudat","Sabah","088-613333","088-611875",,"6.90774000","116.83814000","hospital.jpg","0","0","NEW"
"307","GH12110001","HOSPITAL KUNAK","W.D.T. 150","91209","Kunak","Lahad Datu","Sabah","089-894100","089-853285","h_knk@sbh.moh.gov.my","4.67799000","118.23137000","hospital.jpg","0","0","NEW"
"309","GH12110002","HOSPITAL DATIN SERI ENDON, LAHAD DATU","Peti Surat 60065","60065","Lahad Datu","Lahad Datu","Sabah","089-895111","089-884670","http://hldu.moh.gov.my","5.02755000","118.31443000","hospital.jpg","0","0","NEW"
"308","GH12080001","HOSPITAL BELURAN","Karung Berkunci No : 02","90109","Beluran","Labuk & Sugut","Sabah","089-511233/333","089-511242","www.moh.gov.com.my","5.89280400","117.55778800","hospital.jpg","0","0","NEW"
"310","GH12020001","HOSPITAL PAPAR","Peti Surat No. 6,","89607","Papar","Papar","Sabah","088-913333","088-913587",,"5.72673000","115.92404000","hospital.jpg","0","0","NEW"
"311","GH12260001","HOSPITAL PITAS","Peti Surat 88","89100","Pitas","Pitas","Sabah","088-676100","088-611203","http://hpitas.moh.gov.my","6.71252000","117.02924000","hospital.jpg","0","0","NEW"
"312","GH12060001","HOSPITAL RANAU","Peti Surat 65","89300","Ranau","Ranau","Sabah","088-875266","088-875223","http://www.hranau.moh.gov.my","5.95367000","116.67064000","hospital.jpg","0","0","NEW"
"313","GH12070001","HOSPITAL DUCHESS OF KENT, SANDAKAN","KM 3.2, Jalan Utara","90000","Sandakan","Sandakan","Sabah","089-212111","089-213607","http://hdok.moh.gov.my","5.85890500","118.10298600","hospital.jpg","0","0","NEW"
"315","GH12120001","HOSPITAL SEMPORNA","Peti Surat 80","91307","Semporna","Semporna","Sabah","089-781522","089-781659",,"4.48320500","118.60433600","hospital.jpg","0","0","NEW"
"316","GH12190001","HOSPITAL SIPITANG","Peti Surat 250","89857","Sipitang","Sipitang","Sabah","087-822296","087-822304",,"5.09663000","115.56287000","hospital.jpg","0","0","NEW"
"317","GH12140001","HOSPITAL TAMBUNAN","Peti Surat 10","89657","Tambunan","Tambunan","Sabah","087-774333","087-774102",,"5.68256600","116.37077100","hospital.jpg","0","0","NEW"
"318","GH12100001","HOSPITAL TAWAU","Peti Surat 80","91007","Tawau","Tawau","Sabah","089-773533","089-778626",,"4.24924000","117.87948700","hospital.jpg","0","0","NEW"
"321","GH12160001","HOSPITAL TENOM","Peti surat 97","89907","Tenom","Tenom","Sabah","087-735577","087-735550",,"5.12350000","115.94367000","hospital.jpg","0","0","NEW"
"322","GH12040001","HOSPITAL TUARAN","Peti Surat 996","89207","Tuaran","Tuaran","Sabah","088-788317","088-788167",,"6.14395000","116.21911000","hospital.jpg","0","0","NEW"
"323","GH13100001","HOSPITAL SARATOK","KM 1, Jalan Saratok","95400","Saratok","Seratok","Sarawak","083-436311","083-436917",,"1.74715000","111.33970000","hospital.jpg","0","0","NEW"
"324","GH13090001","HOSPITAL BETONG","Jalan Betong","95700","Betong","Betong ","Sarawak","083-472821","083-472664",,"1.37434000","111.57376000","hospital.jpg","0","0","NEW"
"325","GH13190001","HOSPITAL BINTULU","Jalan Nyabau","97000","Bintulu","Bintulu","Sarawak","086-255899","086-255866","http://hbtu.moh.gov.my","3.23015000","113.10026000","hospital.jpg","0","0","NEW"
"327","GH13210001","HOSPITAL KAPIT","Jalan Memora","96800","Kapit","Kapit","Sarawak","084-796333","084-798333",,"2.01410000","112.94297000","hospital.jpg","0","0","NEW"
"328","GH13020001","HOSPITAL BAU","Batu 1 _,  Jalan Bau-Lundu","94000","Bau","Bau","Sarawak","082-763711","082-763716","http://hbau.moh.gov.my","1.42923000","110.14240000","hospital.jpg","0","0","NEW"
"329","GH13270001","HOSPITAL LAWAS","Jalan Hospital","98850","Lawas","Lawas","Sarawak","085-283781","085-285993","http://www.hlawas.moh.gov.my","4.85454000","115.40470000","hospital.jpg","0","0","NEW"
"330","GH13010001","HOSPITAL UMUM KUCHING","Jalan Tun Ahmad Zaidi Adruce","93586","Kuching","Kuching","Sarawak","082-257555","082-242751",,"1.54409300","110.33940100","hospital.jpg","0","0","NEW"
"338","GH13030001","HOSPITAL LUNDU","Jalan Sekambal","94500","Lundu","Lundu","Sarawak","082-735311","082-735055",,"1.67190000","109.84854000","hospital.jpg","0","0","NEW"
"339","GH13260001","HOSPITAL LIMBANG","Jalan Pandaruan","98700","Limbang","Limbang","Sarawak","085-211200",,"hosp_limbang@srwk.moh.gov.my","4.76468000","115.01857000","hospital.jpg","0","0","NEW"
"340","GH13250001","HOSPITAL MARUDI","Jalan Pungor","98050","Marudi","Marudi","Sarawak","085-755511","085-755217",,"4.18083000","114.33167000","hospital.jpg","0","0","NEW"
"341","GH13240001","HOSPITAL MIRI","Jalan Cahaya Lopeng","98000","Miri","Miri","Sarawak","085-420033","085-416514","http://hmiri.moh.gov.my","4.37395100","113.99824900","hospital.jpg","0","0","NEW"
"344","GH13130001","HOSPITAL DARO","Jalan Itol","96200","Daro","Daro","Sarawak","084-823620","084-823624",,"2.51615000","111.43330000","hospital.jpg","0","0","NEW"
"345","GH13160001","HOSPITAL DALAT","Dalat","96300","Dalat","Dalat","Sarawak","084-863213","084-863058",,"2.86158400","111.88223100","hospital.jpg","0","0","NEW"
"346","GH13170001","HOSPITAL MUKAH","Jalan Haji Mohamed Pauzi","96400","Mukah","Mukah","Sarawak","084-871333","084-872212",,"2.90217000","112.07780000","hospital.jpg","0","0","NEW"
"347","GH13060001","HOSPITAL SIMUNJAN","Jalan Gunung Ngeli","94800","Simunjan","Simunjan","Sarawak","082-803982","082-803988","hosp_simunjan@srwk.moh.gov.my","1.38258000","110.75081000","hospital.jpg","0","0","NEW"
"348","GH13050001","HOSPITAL SERIAN","Hospital Serian","94700","Serian","Serian","Sarawak","082-874311","082-875182",,"1.17676000","110.56375000","hospital.jpg","0","0","NEW"
"349","GH13110001","HOSPITAL SARIKEI","Jalan Hospital","96100","Sarikei","Sarikei","Sarawak","084-653333","084-653409",,"2.13191000","111.49267000","hospital.jpg","0","0","NEW"
"350","GH13180001","HOSPITAL KANOWIT","Jalan Kanowit/ Durin","96700","Kanowit","Kanowit","Sarawak","084-752333","084-752682","hkanowit.moh.gov.my","2.10251400","112.15193200","hospital.jpg","0","0","NEW"
"351","GH13150001","HOSPITAL SIBU","Batu 5 _,  Jalan Ulu Oya","96000","Sibu","Sibu","Sarawak","084-343333","084-337354",,"2.29719100","111.89214400","hospital.jpg","0","0","NEW"
"354","GH13070001","HOSPITAL SRI AMAN","Jalan Hospital","95000","Sri Aman","Sri Aman","Sarawak","083-322151","083-323063",,"1.23401000","111.46274000","hospital.jpg","0","0","NEW"
